Feature;Importance
n_of_follicles_right;0.26
n_of_follicles_left;0.18
has_skin_darkening;0.09
has_hair_growth;0.09
cycle_type;0.07
has_weight_gain;0.06
eats_fast_food;0.05
amh;0.04
has_pimples;0.03
menstrual_phase_days;0.02
bmi;0.02
age;0.02
avg_follicle_size_right;0.01
endometrium_size;0.01
has_hair_loss;0.01
avg_follicle_size_left;0.01
vit_d3;0.01
hb;0.01
prg;0.0
beta_hcg_first;0.0
fsh_lh_ratio;0.0
waist_hip_ratio;0.0
rbs;0.0
prl;0.0
exercises_reg;0.0
tsh;0.0
blood_group;0.0
blood_pressure_systolic;0.0
pulse_rate;0.0
beta_hcg_second;0.0
respiratory_rate;0.0
blood_pressure_diastolic;0.0
is_pregnant;0.0
n_of_abortions;0.0
